timestamp,PV_obs,GHI,DNI,DHI,SA,SZ,CO,Temp
01/09/2020 00:00,0,0,0,0,-6,118,46.9,9.2
01/09/2020 01:00,0,0,0,0,-22,116,49.5,9.1
01/09/2020 02:00,0,0,0,0,-38,111,64.8,9.2
01/09/2020 03:00,0,0,0,0,-52,105,64.4,9
01/09/2020 04:00,0,0,0,0,-65,97,69.2,8.7
01/09/2020 05:00,0,10,0,10,-77,89,47.9,8.9
01/09/2020 06:00,0,122,387,48,-89,80,6.4,10.1
01/09/2020 07:00,0,279,636,71,-101,71,0,12
01/09/2020 08:00,0,428,742,86,-115,63,0,13.6
01/09/2020 09:00,0.8,554,785,103,-130,55,0,14.9
01/09/2020 10:00,1.4,646,809,115,-147,49,0.3,16
01/09/2020 11:00,1.6,572,375,312,-167,45,18,16.8
01/09/2020 12:00,1.7,438,43,407,173,45,37.5,17.1
01/09/2020 13:00,1.7,322,0,322,152,48,51.1,17.2
01/09/2020 14:00,1.1,446,246,300,134,53,22.4,17.2
01/09/2020 15:00,0.7,419,502,172,119,60,8.4,17
01/09/2020 16:00,0.7,281,420,136,105,69,9,16.5
01/09/2020 17:00,0.4,158,421,64,93,78,1.6,15.6
01/09/2020 18:00,0.1,29,108,17,81,87,44.7,14.6
01/09/2020 19:00,0,0,0,0,69,95,50,14
01/09/2020 20:00,0,0,0,0,56,103,43.2,13.8
01/09/2020 21:00,0,0,0,0,42,110,69.8,13.6
01/09/2020 22:00,0,0,0,0,27,115,89.9,13.1
01/09/2020 23:00,0,0,0,0,11,118,61.1,12.2
02/09/2020 00:00,0,0,0,0,-6,118,34.3,11.6
02/09/2020 01:00,0,0,0,0,-23,116,74.2,11.3
02/09/2020 02:00,0,0,0,0,-38,112,65.6,10.9
02/09/2020 03:00,0,0,0,0,-52,105,61,10.5
02/09/2020 04:00,0,0,0,0,-65,98,57.8,10.4
02/09/2020 05:00,0,6,0,6,-77,89,59.4,10.7
02/09/2020 06:00,0,46,0,46,-89,80,63.9,11.6
02/09/2020 07:00,0,237,358,113,-102,71,13.8,13.1
02/09/2020 08:00,0.1,315,282,186,-115,63,23.7,14.5
02/09/2020 09:00,0.7,349,69,312,-130,55,34.3,15.6
02/09/2020 10:00,1,321,25,305,-147,49,48,16.4
02/09/2020 11:00,1.2,205,0,205,-167,46,69.1,15.4
02/09/2020 12:00,1,132,0,132,172,45,80.2,13.4
02/09/2020 13:00,0.5,172,0,172,152,48,72.3,12.5
02/09/2020 14:00,0.2,184,0,184,134,53,66.5,12.2
02/09/2020 15:00,0.2,122,0,122,119,61,71.4,12
02/09/2020 16:00,0.2,123,0,123,105,69,57.3,12.7
02/09/2020 17:00,0.1,60,0,60,93,78,59.8,13.3
02/09/2020 18:00,0,15,0,15,81,87,47.2,13.7
02/09/2020 19:00,0,0,0,0,69,96,72.5,14
02/09/2020 20:00,0,0,0,0,56,104,77.7,14.2
02/09/2020 21:00,0,0,0,0,42,110,69.4,14.3
02/09/2020 22:00,0,0,0,0,27,116,76.5,14.5
02/09/2020 23:00,0,0,0,0,11,118,62,15.3
03/09/2020 00:00,0,0,0,0,-6,119,72.7,16.1
03/09/2020 01:00,0,0,0,0,-23,117,86.9,16.7
03/09/2020 02:00,0,0,0,0,-38,112,91.6,17.2
03/09/2020 03:00,0,0,0,0,-53,106,84.4,17.4
03/09/2020 04:00,0,0,0,0,-66,98,82.2,17.4
03/09/2020 05:00,0,1,0,1,-78,89,83.6,17.1
03/09/2020 06:00,0,39,0,39,-90,81,67.6,16.5
03/09/2020 07:00,0,89,0,89,-102,72,66.9,16.3
03/09/2020 08:00,0,152,0,152,-115,63,62.2,16.3
03/09/2020 09:00,0.1,331,59,296,-130,56,39.3,16.6
03/09/2020 10:00,0.1,432,134,346,-147,50,31.7,17.1
03/09/2020 11:00,0.3,342,50,307,-167,46,50,17.3
