ghi,ghi90,ghi10,ebh,dni,dni10,dni90,dhi,air_temp,zenith,azimuth,cloud_opacity,period_end,period
448,632,189,57,69,4,346,391,20,35,155,40,2021-07-24T13:30:00.0000000Z,PT30M
432,597,164,54,67,3,312,377,19,37,144,40,2021-07-24T14:00:00.0000000Z,PT30M
458,580,130,92,120,2,336,365,19,40,133,32,2021-07-24T14:30:00.0000000Z,PT30M
378,530,142,45,62,2,298,332,19,44,124,40,2021-07-24T15:00:00.0000000Z,PT30M
359,533,143,49,72,2,416,310,19,48,116,38,2021-07-24T15:30:00.0000000Z,PT30M
328,475,116,45,72,2,377,283,19,52,109,37,2021-07-24T16:00:00.0000000Z,PT30M
281,439,91,34,60,1,423,247,19,56,102,38,2021-07-24T16:30:00.0000000Z,PT30M
229,377,72,27,56,2,410,201,19,61,95,39,2021-07-24T17:00:00.0000000Z,PT30M
183,304,54,19,45,2,359,164,19,65,89,40,2021-07-24T17:30:00.0000000Z,PT30M
135,233,34,12,35,0,299,122,19,70,83,42,2021-07-24T18:00:00.0000000Z,PT30M
91,163,18,7,25,0,221,84,18,74,78,45,2021-07-24T18:30:00.0000000Z,PT30M
54,102,8,3,14,0,130,51,17,78,72,48,2021-07-24T19:00:00.0000000Z,PT30M
28,53,4,1,6,0,65,27,16,83,66,49,2021-07-24T19:30:00.0000000Z,PT30M
11,20,1,1,6,0,10,10,14,87,60,50,2021-07-24T20:00:00.0000000Z,PT30M
0,0,0,0,0,0,0,0,14,90,55,49,2021-07-24T20:30:00.0000000Z,PT30M
0,0,0,0,0,0,0,0,14,94,48,48,2021-07-24T21:00:00.0000000Z,PT30M
0,0,0,0,0,0,0,0,14,97,42,47,2021-07-24T21:30:00.0000000Z,PT30M
0,0,0,0,0,0,0,0,12,100,36,46,2021-07-24T22:00:00.0000000Z,PT30M
0,0,0,0,0,0,0,0,12,102,29,46,2021-07-24T22:30:00.0000000Z,PT30M
0,0,0,0,0,0,0,0,12,104,22,46,2021-07-24T23:00:00.0000000Z,PT30M
0,0,0,0,0,0,0,0,12,106,15,45,2021-07-24T23:30:00.0000000Z,PT30M
0,0,0,0,0,0,0,0,12,107,7,45,2021-07-25T00:00:00.0000000Z,PT30M
0,0,0,0,0,0,0,0,12,107,0,45,2021-07-25T00:30:00.0000000Z,PT30M
0,0,0,0,0,0,0,0,12,107,-7,45,2021-07-25T01:00:00.0000000Z,PT30M
0,0,0,0,0,0,0,0,12,106,-15,44,2021-07-25T01:30:00.0000000Z,PT30M
