,ghi,ghi90,ghi10,ebh,dni,dni10,dni90,dhi,air_temp,zenith,azimuth,cloud_opacity,period_end,period
0,623,623,525,462,658,359,658,162,27,47,116,0,2021-07-22T15:30:00.0000000Z,PT30M
1,561,561,471,404,626,327,626,158,27,51,108,1,2021-07-22T16:00:00.0000000Z,PT30M
2,492,493,410,347,583,300,585,144,27,56,101,2,2021-07-22T16:30:00.0000000Z,PT30M
3,388,420,306,217,423,156,537,171,27,60,95,7,2021-07-22T17:00:00.0000000Z,PT30M
4,330,344,240,187,422,107,479,143,27,65,89,4,2021-07-22T17:30:00.0000000Z,PT30M
5,255,269,159,123,334,47,403,132,25,69,83,5,2021-07-22T18:00:00.0000000Z,PT30M
6,176,197,92,63,214,17,322,113,25,74,77,10,2021-07-22T18:30:00.0000000Z,PT30M
7,99,119,40,20,96,5,216,79,23,78,72,18,2021-07-22T19:00:00.0000000Z,PT30M
8,49,64,18,6,35,0,94,43,22,82,66,23,2021-07-22T19:30:00.0000000Z,PT30M
9,18,25,6,1,6,0,24,17,21,86,60,28,2021-07-22T20:00:00.0000000Z,PT30M
10,0,0,0,0,0,0,0,0,21,90,54,33,2021-07-22T20:30:00.0000000Z,PT30M
11,0,0,0,0,0,0,0,0,20,94,48,37,2021-07-22T21:00:00.0000000Z,PT30M
12,0,0,0,0,0,0,0,0,20,97,42,41,2021-07-22T21:30:00.0000000Z,PT30M
13,0,0,0,0,0,0,0,0,19,100,35,44,2021-07-22T22:00:00.0000000Z,PT30M
14,0,0,0,0,0,0,0,0,19,102,29,46,2021-07-22T22:30:00.0000000Z,PT30M
15,0,0,0,0,0,0,0,0,18,104,22,47,2021-07-22T23:00:00.0000000Z,PT30M
16,0,0,0,0,0,0,0,0,18,105,15,49,2021-07-22T23:30:00.0000000Z,PT30M
17,0,0,0,0,0,0,0,0,18,106,7,50,2021-07-23T00:00:00.0000000Z,PT30M
18,0,0,0,0,0,0,0,0,17,107,0,50,2021-07-23T00:30:00.0000000Z,PT30M
19,0,0,0,0,0,0,0,0,17,106,-7,50,2021-07-23T01:00:00.0000000Z,PT30M
20,0,0,0,0,0,0,0,0,16,105,-14,49,2021-07-23T01:30:00.0000000Z,PT30M
21,0,0,0,0,0,0,0,0,16,104,-22,49,2021-07-23T02:00:00.0000000Z,PT30M
22,0,0,0,0,0,0,0,0,16,102,-29,48,2021-07-23T02:30:00.0000000Z,PT30M
23,0,0,0,0,0,0,0,0,14,100,-35,49,2021-07-23T03:00:00.0000000Z,PT30M
24,0,0,0,0,0,0,0,0,14,97,-42,50,2021-07-23T03:30:00.0000000Z,PT30M
25,0,0,0,0,0,0,0,0,14,94,-48,51,2021-07-23T04:00:00.0000000Z,PT30M
26,0,0,0,0,0,0,0,0,14,90,-54,51,2021-07-23T04:30:00.0000000Z,PT30M
27,12,22,3,0,0,0,12,12,14,86,-60,47,2021-07-23T05:00:00.0000000Z,PT30M
28,36,59,11,2,12,0,65,34,16,82,-66,40,2021-07-23T05:30:00.0000000Z,PT30M
29,79,114,33,8,38,5,159,71,16,78,-72,31,2021-07-23T06:00:00.0000000Z,PT30M
30,140,178,68,25,94,7,261,114,17,74,-77,21,2021-07-23T06:30:00.0000000Z,PT30M
31,213,249,115,59,167,14,324,153,17,69,-83,14,2021-07-23T07:00:00.0000000Z,PT30M
32,287,324,161,111,263,21,431,176,18,65,-89,11,2021-07-23T07:30:00.0000000Z,PT30M
33,354,399,201,148,296,24,478,206,19,60,-95,11,2021-07-23T08:00:00.0000000Z,PT30M
34,411,472,234,178,318,23,539,233,19,56,-101,12,2021-07-23T08:30:00.0000000Z,PT30M
35,460,540,261,197,320,23,578,263,20,52,-108,14,2021-07-23T09:00:00.0000000Z,PT30M
36,508,601,291,218,320,23,601,290,21,47,-116,14,2021-07-23T09:30:00.0000000Z,PT30M
37,553,653,322,252,349,25,620,302,21,44,-124,14,2021-07-23T10:00:00.0000000Z,PT30M
38,599,699,354,285,372,31,633,314,22,40,-133,14,2021-07-23T10:30:00.0000000Z,PT30M
39,636,734,382,316,397,34,641,319,22,37,-143,12,2021-07-23T11:00:00.0000000Z,PT30M
40,665,760,403,338,412,38,645,327,23,35,-155,12,2021-07-23T11:30:00.0000000Z,PT30M
41,683,775,418,357,426,41,645,326,23,33,-167,12,2021-07-23T12:00:00.0000000Z,PT30M
42,699,788,428,394,470,43,669,306,23,33,-180,11,2021-07-23T12:30:00.0000000Z,PT30M
43,705,789,432,399,476,47,692,306,24,33,167,11,2021-07-23T13:00:00.0000000Z,PT30M
44,702,780,427,424,518,49,712,278,24,35,155,10,2021-07-23T13:30:00.0000000Z,PT30M
45,688,759,415,431,540,50,729,257,24,37,144,9,2021-07-23T14:00:00.0000000Z,PT30M
46,666,729,400,424,553,51,744,242,24,40,133,9,2021-07-23T14:30:00.0000000Z,PT30M
47,635,690,378,412,565,51,744,222,24,43,124,8,2021-07-23T15:00:00.0000000Z,PT30M
48,588,633,347,388,569,51,726,200,24,47,116,7,2021-07-23T15:30:00.0000000Z,PT30M
49,531,570,309,353,572,49,702,178,24,52,108,7,2021-07-23T16:00:00.0000000Z,PT30M
50,464,500,265,295,528,41,664,169,23,56,102,7,2021-07-23T16:30:00.0000000Z,PT30M
51,387,427,213,217,434,29,612,170,23,60,95,9,2021-07-23T17:00:00.0000000Z,PT30M
52,304,351,158,138,327,19,560,166,22,65,89,14,2021-07-23T17:30:00.0000000Z,PT30M
