timestamp,PV_obs,GHI_1,DNI_1,DIF_1,TEMP_1,SA_1,SE_1,GHI_2,DNI_2,DIF_2,TEMP_2,SA_2,SE_2,GHI_3,DNI_3,DIF_3,TEMP_3,SA_3,SE_3,GHI_4,DNI_4,DIF_4,TEMP_4,SA_4,SE_4,GHI_5,DNI_5,DIF_5,TEMP_5,SA_5,SE_5
2015-01-01 00:00:00,0,0,0,0,-7.6,-158.45,-63.08,0,0,0,-9,-157.25,-63.59,0,0,0,-7.9,-158.4,-63.61,0,0,0,-8.2,-159.46,-63.05,0,0,0,-7.3,-157.99,-62.99
2015-01-01 01:00:00,0,0,0,0,-7.5,-133.05,-57.47,0,0,0,-8.5,-131.76,-57.73,0,0,0,-8.1,-132.69,-57.91,0,0,0,-8.1,-133.91,-57.59,0,0,0,-7.1,-132.73,-57.33
2015-01-01 02:00:00,0,0,0,0,-7.3,-114.29,-49.23,0,0,0,-7.4,-113.2,-49.27,0,0,0,-7.7,-113.91,-49.54,0,0,0,-7.7,-114.95,-49.44,0,0,0,-6.9,-114.06,-49.06
2015-01-01 03:00:00,0,0,0,0,-7.3,-100.07,-39.77,0,0,0,-7,-99.23,-39.64,0,0,0,-7.4,-99.78,-39.97,0,0,0,-7.7,-100.59,-40.04,0,0,0,-6.9,-99.89,-39.6
2015-01-01 04:00:00,0,0,0,0,-7.3,-88.26,-29.9,0,0,0,-6.8,-87.62,-29.63,0,0,0,-7,-88.08,-29.99,0,0,0,-7.6,-88.7,-30.21,0,0,0,-6.9,-88.1,-29.74
2015-01-01 05:00:00,0,0,0,0,-7.2,-77.54,-20.08,0,0,0,-6.6,-77.05,-19.69,0,0,0,-6.8,-77.47,-20.07,0,0,0,-7.4,-77.92,-20.41,0,0,0,-6.8,-77.38,-19.92
2015-01-01 06:00:00,0,0,0,0,-7.1,-67.08,-10.62,0,0,0,-6.5,-66.71,-10.13,0,0,0,-6.6,-67.1,-10.51,0,0,0,-7.2,-67.43,-10.96,0,0,0,-6.7,-66.91,-10.48
2015-01-01 07:00:00,0,2,0,2,-6.6,-56.31,-1.13,2,0,2,-6.2,-56.02,-0.58,0,0,0,-6.3,-56.42,-0.93,1,0,1,-6.8,-56.66,-1.48,3,0,3,-6.3,-56.13,-1.01
2015-01-01 08:00:00,0.61,58,181,40,-5.8,-44.81,5.93,33,7,32,-5.7,-44.57,6.56,48,98,33,-6,-44.98,6.22,37,51,32,-6.2,-45.17,5.62,43,95,36,-5.7,-44.61,6.02
2015-01-01 09:00:00,3.01,139,236,88,-5.4,-32.32,12.04,81,43,72,-5.3,-32.08,12.72,92,42,84,-5.4,-32.53,12.42,77,49,68,-5.6,-32.71,11.75,90,83,70,-5.2,-32.1,12.09
2015-01-01 10:00:00,4.82,64,6,62,-4.6,-18.8,16.3,53,12,50,-4.6,-18.52,16.99,59,0,59,-4.6,-19.01,16.76,77,64,60,-4.5,-19.22,16.05,108,73,89,-4.4,-18.57,16.32
2015-01-01 11:00:00,5.66,88,44,74,-3.6,-4.52,18.29,74,1,74,-4,-4.18,18.96,62,0,62,-3.6,-4.69,18.81,76,57,58,-3.2,-4.96,18.12,45,12,41,-3.5,-4.28,18.28
2015-01-01 12:00:00,4.82,31,0,31,-2.6,9.97,17.82,77,0,77,-3.3,10.36,18.42,65,8,62,-2.7,9.84,18.36,59,18,53,-2,9.52,17.73,71,20,64,-2.6,10.21,17.76
2015-01-01 13:00:00,3.1,48,6,46,-1.9,24.02,14.93,44,0,44,-2.9,24.43,15.43,55,0,55,-1.9,23.92,15.46,52,35,43,-1.2,23.58,14.92,80,56,65,-2.1,24.24,14.84
2015-01-01 14:00:00,1.35,62,71,48,-1.5,37.17,9.92,43,11,41,-2.6,37.54,10.29,58,30,53,-1.4,37.08,10.4,78,138,56,-0.8,36.76,9.98,81,143,55,-1.9,37.37,9.79
2015-01-01 15:00:00,0.14,20,43,16,-1.7,49.26,3.32,27,50,22,-2.8,49.57,3.55,18,1,18,-1.3,49.15,3.72,12,14,11,-0.5,48.9,3.45,9,4,9,-2.6,49.45,3.19
2015-01-01 16:00:00,0,0,0,0,-2.2,60.44,-4.51,0,0,0,-3.1,60.66,-4.39,0,0,0,-1.4,60.28,-4.12,0,0,0,-0.6,60.12,-4.3,0,0,0,-3.4,60.62,-4.68
2015-01-01 17:00:00,0,0,0,0,-2,71.04,-14.14,0,0,0,-2.6,71.14,-14.16,0,0,0,-1.1,70.8,-13.86,0,0,0,-0.7,70.75,-13.9,0,0,0,-2.8,71.22,-14.3
2015-01-01 18:00:00,0,0,0,0,-1.9,81.52,-23.76,0,0,0,-2.3,81.49,-23.9,0,0,0,-1.2,81.17,-23.57,0,0,0,-0.7,81.26,-23.48,0,0,0,-2.4,81.71,-23.92
2015-01-01 19:00:00,0,0,0,0,-1.8,92.54,-33.64,0,0,0,-2.4,92.38,-33.91,0,0,0,-1.3,92.06,-33.55,0,0,0,-0.6,92.28,-33.33,0,0,0,-2.2,92.75,-33.8
2015-01-01 20:00:00,0,0,0,0,-1.7,105.07,-43.42,0,0,0,-2.5,104.8,-43.83,0,0,0,-1.1,104.43,-43.45,0,0,0,-0.5,104.78,-43.09,0,0,0,-2.2,105.32,-43.57
2015-01-01 21:00:00,0,0,0,0,-1.9,120.7,-52.54,0,0,0,-2.4,120.4,-53.08,0,0,0,-1,119.9,-52.71,0,0,0,-0.6,120.31,-52.2,0,0,0,-2.9,121.03,-52.67
2015-01-01 22:00:00,0,0,0,0,-2.2,141.88,-59.99,0,0,0,-2.4,141.79,-60.65,0,0,0,-1,141.03,-60.33,0,0,0,-0.7,141.27,-59.68,0,0,0,-3.8,142.32,-60.06
2015-01-01 23:00:00,0,0,0,0,-2,170.22,-64.03,0,0,0,-2.3,170.76,-64.71,0,0,0,-1.1,169.68,-64.53,0,0,0,-0.5,169.31,-63.83,0,0,0,-3.4,170.74,-64.03
2015-01-02 00:00:00,0,0,0,0,-1.7,-158.76,-63.04,0,0,0,-2.4,-157.57,-63.55,0,0,0,-1.3,-158.72,-63.56,0,0,0,-0.4,-159.78,-63,0,0,0,-3,-158.31,-62.95
2015-01-02 01:00:00,0,0,0,0,-1.3,-133.3,-57.45,0,0,0,-2.3,-132.01,-57.71,0,0,0,-1.5,-132.94,-57.89,0,0,0,-0.3,-134.15,-57.57,0,0,0,-2.4,-132.98,-57.31
2015-01-02 02:00:00,0,0,0,0,-0.8,-114.49,-49.23,0,0,0,-2.1,-113.41,-49.27,0,0,0,-1.6,-114.11,-49.55,0,0,0,0,-115.16,-49.44,0,0,0,-1.8,-114.26,-49.07
2015-01-02 03:00:00,0,0,0,0,-1.1,-100.25,-39.78,0,0,0,-2.2,-99.4,-39.65,0,0,0,-1.9,-99.95,-39.99,0,0,0,0.1,-100.77,-40.06,0,0,0,-1.6,-100.06,-39.62
2015-01-02 04:00:00,0,0,0,0,-1.3,-88.42,-29.91,0,0,0,-2.1,-87.77,-29.65,0,0,0,-2,-88.23,-30.01,0,0,0,-0.3,-88.85,-30.22,0,0,0,-1.6,-88.25,-29.75
2015-01-02 05:00:00,0,0,0,0,-1.4,-77.68,-20.09,0,0,0,-2,-77.19,-19.71,0,0,0,-2,-77.61,-20.08,0,0,0,-0.7,-78.06,-20.42,0,0,0,-1.7,-77.52,-19.94
2015-01-02 06:00:00,0,0,0,0,-1.7,-67.21,-10.62,0,0,0,-2.1,-66.85,-10.13,0,0,0,-2.2,-67.24,-10.52,0,0,0,-1,-67.57,-10.97,0,0,0,-1.8,-67.05,-10.48
2015-01-02 07:00:00,0,1,0,1,-1.6,-56.44,-1.12,3,0,3,-2.1,-56.16,-0.57,2,0,2,-2.4,-56.55,-0.93,1,0,1,-1.3,-56.79,-1.47,1,0,1,-1.7,-56.26,-1
2015-01-02 08:00:00,1.31,56,127,40,-1.3,-44.94,5.95,52,68,42,-2,-44.7,6.58,50,74,41,-2.6,-45.12,6.24,53,156,39,-1.4,-45.3,5.64,35,32,31,-1.4,-44.75,6.04
2015-01-02 09:00:00,3.43,93,63,79,-1.1,-32.45,12.07,92,39,84,-1.6,-32.21,12.75,118,139,87,-2.3,-32.66,12.46,146,329,78,-1.5,-32.84,11.78,61,11,59,-1.1,-32.24,12.13
2015-01-02 10:00:00,7.36,198,280,119,-0.8,-18.92,16.35,103,8,101,-0.9,-18.65,17.05,188,238,117,-1.6,-19.13,16.82,257,608,88,-1.4,-19.34,16.11,128,56,112,-0.6,-18.69,16.38
2015-01-02 11:00:00,17.4,172,109,137,-0.5,-4.63,18.37,208,214,138,0,-4.29,19.04,278,554,99,-0.7,-4.81,18.89,224,317,125,-1.1,-5.08,18.2,120,95,90,-0.2,-4.39,18.35
2015-01-02 12:00:00,21.81,179,177,126,-0.2,9.88,17.92,246,406,118,0.8,10.26,18.52,247,455,102,0,9.74,18.46,223,354,114,-1,9.42,17.82,98,69,78,0,10.11,17.86
2015-01-02 13:00:00,16.61,98,90,73,0.3,23.94,15.04,200,378,98,1.4,24.35,15.54,184,298,103,0.6,23.85,15.57,154,162,113,-0.2,23.5,15.03,128,89,106,0.5,24.16,14.95
2015-01-02 14:00:00,6.23,39,5,39,0.8,37.11,10.04,122,283,70,1.3,37.49,10.41,102,179,65,1,37.02,10.52,54,0,54,0.8,36.7,10.1,21,0,21,0.9,37.31,9.91
2015-01-02 15:00:00,0.56,17,1,17,0.7,49.22,3.44,9,0,9,0,49.53,3.67,25,41,22,0.5,49.12,3.84,23,29,21,1.2,48.85,3.56,8,2,8,0.5,49.41,3.31
2015-01-02 16:00:00,0,0,0,0,1,60.42,-4.37,0,0,0,-0.4,60.63,-4.25,0,0,0,0.7,60.26,-3.97,0,0,0,1.6,60.09,-4.15,0,0,0,0.9,60.6,-4.54
2015-01-02 17:00:00,0,0,0,0,1.1,71.02,-14.01,0,0,0,0.8,71.12,-14.02,0,0,0,1.3,70.78,-13.73,0,0,0,1.9,70.73,-13.77,0,0,0,1.4,71.2,-14.17
2015-01-02 18:00:00,0,0,0,0,1.3,81.51,-23.63,0,0,0,1.3,81.48,-23.77,0,0,0,1.6,81.16,-23.44,0,0,0,2.1,81.25,-23.34,0,0,0,0.9,81.7,-23.79
2015-01-02 19:00:00,0,0,0,0,1.8,92.53,-33.51,0,0,0,1.5,92.37,-33.78,0,0,0,2.4,92.05,-33.42,0,0,0,2.5,92.27,-33.2,0,0,0,1.2,92.74,-33.67
2015-01-02 20:00:00,0,0,0,0,2.4,105.05,-43.29,0,0,0,2.3,104.78,-43.7,0,0,0,3.3,104.41,-43.32,0,0,0,2.9,104.76,-42.96,0,0,0,1.8,105.3,-43.44
2015-01-02 21:00:00,0,0,0,0,2.9,120.65,-52.41,0,0,0,3,120.35,-52.95,0,0,0,3.9,119.86,-52.58,0,0,0,2.8,120.27,-52.07,0,0,0,2.4,120.98,-52.54
